"# of Use","Utilisation numéro #",,"# of Use",WAHR
"Category move operation is not possible: the current category was not found.","L'opération de déplacement de catégorie n'est pas possible : la catégorie actuelle n'a pas été trouvée.",,"Category move operation is not possible: the current category was not found.",WAHR
"Category move operation is not possible: the new parent category was not found.","L'opération de déplacement de la catégorie n'est pas possible: la nouvelle catégorie mère n'a pas été trouvée.",,"Category move operation is not possible: the new parent category was not found.",WAHR
"Category must be an instance of Mage_Catalog_Model_Category.","La catégorie doit être un exemple de Mage_Catalogue_Modèle_Catégorie.",,"Category must be an instance of Mage_Catalog_Model_Category.",WAHR
"Center","Centrer",,"Center",WAHR
"Change","Changer",,"Change",WAHR
"Change or Retrieve attribute store view","Modifier ou récupérer des attributs de la vue de la boutique",,"Change or Retrieve attribute store view",WAHR
"Change status","Changer le satut",,"Change status",WAHR
"Check items to add to the cart or","Cocher les articles à ajouter au panier ou",,"Check items to add to the cart or",WAHR
"Choose an Option...","Choisir une option...",,"Choose an Option...",WAHR
"Clear All","Tout effacer",,"Clear All",WAHR
"Clear Price","Réinitialiser le prix",,"Clear Price",WAHR
"Click for price","Cliquez pour le prix",,"Click for price",WAHR
"Close Window","Fermer la fenêtre",,"Close Window",WAHR
"Collapse All","Afficher tout",,"Collapse All",WAHR
"Comma-separated.","Séparé(es) par des virgules.",,"Comma-separated.",WAHR
"Comparable","Comparable","+","Comparable",WAHR
"Comparable on Front-end","Comparable depuis l'interface",,"Comparable on Front-end",WAHR
"Comparable on the Frontend","Comparable depuis l'interface",,"Comparable on the Frontend",WAHR
"Compare","Comparer",,"Compare",WAHR
"Compare Products","Comparer des produits",,"Compare Products",WAHR
"Conditions Combination","Combinaison de conditions",,"Conditions Combination",WAHR
"Configurable Product","Produit configurable",,"Configurable Product",WAHR
"Configurable Product Settings","Réglages du produit configurable",,"Configurable Product Settings",WAHR
"Configure Product","Configurer produit",,"Configure Product",WAHR
"Continue","Continuer",,"Continue",WAHR
"Copy From Configurable","Copier depuis configurable",,"Copy From Configurable",WAHR
"Country/State","Pays/État",,"Country/State",WAHR
"Country of Manufacture","Country of Manufacture","+","Country of Manufacture",WAHR
"Create","Créer",,"Create",WAHR
"Create (Upload)","Créer (envoyer)",,"Create (Upload)",WAHR
"Create Empty","Créer vide",,"Create Empty",WAHR
"Create Permanent Redirect for URLs if URL Key Changed","Créer une Redirection Permanente pour les URL si la Combinaison URL a changé",,"Create Permanent Redirect for URLs if URL Key Changed",WAHR
"Create Permanent Redirect for old URL","Créer une redirection permanente pour une vieille URL",,"Create Permanent Redirect for old URL",WAHR
"Create Product Settings","Créer les réglages du produits",,"Create Product Settings",WAHR
"Create Simple Associated Product","Créer des produits simples associés",,"Create Simple Associated Product",WAHR
"Create attribute set based on another set","Créer un ensemble d'attributs basé sur un autre ensemble",,"Create attribute set based on another set",WAHR
"Create new attribute","Créer un nouvel attribut",,"Create new attribute",WAHR
"Create new category","Créer une nouvelle catégorie",,"Create new category",WAHR
"Create new product","Créer un nouveau produit",,"Create new product",WAHR
"Cross-sells","Ventes liées",,"Cross-sells",WAHR
"Currently Shopping by:","Shopping actuel par :",,"Currently Shopping by:",WAHR
"Custom Design","Dessin sur mesure",,"Custom Design",WAHR
"Custom Options","Personnaliser les options",,"Custom Options",WAHR
"Custom options","Options personnalisées",,"Custom options",WAHR
"Customer Group","Groupe du client",,"Customer Group",WAHR
"Customers Reviews","Avis des clients",,"Customers Reviews",WAHR
"Customers Tagged Product","Les acheteurs ont étiqueté le produit",,"Customers Tagged Product",WAHR
"Data Type for Saving in Database","Type de données pour enregistrement dans la base de données",,"Data Type for Saving in Database",WAHR
"Date & Time Custom Options","Options de date et d'heure personnalisées",,"Date & Time Custom Options",WAHR
"Date Fields Order","Ordre des champs de date",,"Date Fields Order",WAHR
"Date Subscribed","Date d'abonnement",,"Date Subscribed",WAHR
"Datetime","Date et heure",,"Datetime",WAHR
"Decimal","Décimal",,"Decimal",WAHR
"Declare attribute value saving scope","Déclarer la valeur d'économies",,"Declare attribute value saving scope",WAHR
"Default ""What's This"" Text Message","Message texte par défaut ""Qu'est-ce""",,"Default ""What's This"" Text Message",WAHR
"Default Popup Text Message","Message text pop-up par défaut",,"Default Popup Text Message",WAHR
"Default Price","Prix par défaut",,"Default Price",WAHR
"Default Price Navigation Step","Prix par défaut pour la navigation",,"Default Price Navigation Step",WAHR
"Default Qty","Qté par défaut",,"Default Qty",WAHR
"Default Values","Valeurs par défaut",,"Default Values",WAHR
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Définit l'étendue de base des monnaies (""Monnaies"" > ""Options des monnaies"" > ""Monnaies de base"")",,"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").",WAHR
"Delete","Supprimer",,"Delete",WAHR
"Delete Attribute","Supprimer l'attribut",,"Delete Attribute",WAHR
"Delete Attribute Set","Supprimer l'ensemble d'attributs",,"Delete Attribute Set",WAHR
"Delete Category","Supprimer catégorie",,"Delete Category",WAHR
"Delete Group Price","Supprimer le prix de groupe",,"Delete Group Price",WAHR
"Delete Option","Supprimer option",,"Delete Option",WAHR
"Delete Row","Supprimer ligne",,"Delete Row",WAHR
"Delete Search","Supprimer recherche",,"Delete Search",WAHR
"Delete Selected Group","Supprimer le groupe sélectionné",,"Delete Selected Group",WAHR
"Delete Tier","Supprimer le niveau",,"Delete Tier",WAHR
"Delete attribute","Supprimer l'attribut",,"Delete attribute",WAHR
"Delete category","Supprimer catégorie",,"Delete category",WAHR
"Delete product","Supprimer produit",,"Delete product",WAHR
"Depends on design theme","Dépend du thème visuel",,"Depends on design theme",WAHR
"Description","Description","+","Description",WAHR
"Design","Design",,"Design",WAHR
"Details","Détails",,"Details",WAHR
"Disabled","Désactivé",,"Disabled",WAHR
"Disallowed file type.","Type de fichier non autorisé.",,"Disallowed file type.",WAHR
"Display Actual Price","Afficher le prix réel",,"Display Actual Price",WAHR
"Display Page Control","Afficher la page de commande",,"Display Page Control",WAHR
"Display Price Interval as One Price","Afficher l'intervalle de prix comme Un Prix",,"Display Price Interval as One Price",WAHR
"Display Product Count","Afficher le nombre de produits",,"Display Product Count",WAHR
"Display Product Options In","Display Product Options In","+","Display Product Options In",WAHR
"Display Settings","Display Settings","+","Display Settings",WAHR
"Display Type","Type d'affichage",,"Display Type",WAHR
"Display in Suggested Terms","Afficher dans les termes suggérés.",,"Display in Suggested Terms",WAHR
"Double click on a group to rename it","Double cliquez sur un groupe pour le renommer",,"Double click on a group to rename it",WAHR
"Double click on above image to view full picture","Double cliquez sur une image pour taille réelle",,"Double click on above image to view full picture",WAHR
"Downloadable Information","Informations téléchargeables",,"Downloadable Information",WAHR
"Duplicate","Copier",,"Duplicate",WAHR
"Duplicate amount found.","Montant copié trouvé.",,"Duplicate amount found.",WAHR
"Duplicate website group price customer group.","Copier le site internet prix de groupe clientèle.",,"Duplicate website group price customer group.",WAHR
"Duplicate website tier price customer group and quantity.","Dupliquer le prix de groupe client du site et la quantité.",,"Duplicate website tier price customer group and quantity.",WAHR
"Duplicate website, country and state tax found.","Copie du site web, du pays et de la région trouvée.",,"Duplicate website, country and state tax found.",WAHR
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}.Des chemins dynamiques ont un impact sur les performances du catalogue.",,"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.",WAHR
"Edit","Éditer",,"Edit",WAHR
"Edit Attribute Set '%s'","Modifier le jeu d'attributs : '%s'",,"Edit Attribute Set '%s'",WAHR
"Edit Product Attribute","Modifier l'attribut du produit",,"Edit Product Attribute",WAHR
"Edit Product Attribute ""%s""","Modifier attribut de produit ""%s""",,"Edit Product Attribute ""%s""",WAHR
"Edit Search","Modifier la recherche",,"Edit Search",WAHR
"Edit Search '%s'","Modifier la recherche '%s'",,"Edit Search '%s'",WAHR
"Edit Set Name","Modifier le nom défini",,"Edit Set Name",WAHR
"Email","Email",,"Email",WAHR
"Email to a Friend","Envoyer à un ami par email",,"Email to a Friend",WAHR
"Empty","Vide",,"Empty",WAHR
"Enable MAP","Activer MAP",,"Enable MAP",WAHR
"Enable Qty Increments","Activer quantité",,"Enable Qty Increments",WAHR
"Enable Recurring Profile","Enable Recurring Profile","+","Enable Recurring Profile",WAHR
"Enable WYSIWYG","Permettre WYSIWYG",,"Enable WYSIWYG",WAHR
"Enable for reindexing a big number of SKUs.","Activer pour réindexer un grand nombre d'UGS",,"Enable for reindexing a big number of SKUs.",WAHR
"Enabled","Activé",,"Enabled",WAHR
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option:% s",,"Error during retrieval of option value: %s",WAHR
"Exclude","Exclure",,"Exclude",WAHR
"Expand All","Tout développer",,"Expand All",WAHR
"Failed","Echoué",,"Failed",WAHR
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Echec de la copie du fichier %s. Veuillez supprimer les fichiers avec des images non existantes, et réessayer.",,"Failed to copy file %s. Please, delete media with non-existing images and try again.",WAHR
"Failed to move file: %s","Impossible de déplacer le fichier: %s",,"Failed to move file: %s",WAHR
"Feature Products","Produits à l'affiche",,"Feature Products",WAHR
"Field is not complete","Le champ n'est pas complet",,"Field is not complete",WAHR
"File options format is not valid.","Le format des options du fichier n'est pas valide.",,"File options format is not valid.",WAHR
"File upload failed","L'envoi du fichier a échoué.",,"File upload failed",WAHR
"Filter","Filtrer",,"Filter",WAHR
"Filter model name must be declared.","Un nom de modèle de filtre doit être précisé.",,"Filter model name must be declared.",WAHR
"Filter must be an object. Please set correct filter.","Le filtre doit être un objet. Veuillez définir un filtre correct.",,"Filter must be an object. Please set correct filter.",WAHR
"Filterable (no results)","Filtrable (pas de résultat)",,"Filterable (no results)",WAHR
"Filterable (with results)","Filtrable (avec résultats)",,"Filterable (with results)",WAHR
"First Name","Prénom",,"First Name",WAHR
"Fixed","Fixé",,"Fixed",WAHR
"For internal use.","Pour usage interne.",,"For internal use.",WAHR
"For the last time placed.","Placé pour la dernière fois.",,"For the last time placed.",WAHR
"Frontend","Interface",,"Frontend",WAHR
"Frontend Model","Modèle d'interface",,"Frontend Model",WAHR
"Frontend Properties","Propriétés front-end",,"Frontend Properties",WAHR
"Gallery","Galerie",,"Gallery",WAHR
"General Information","Informations générales",,"General Information",WAHR
"Get full information about attribute with list of options","Obtenez toutes les informations des attributs avec une liste des options",,"Get full information about attribute with list of options",WAHR
